airline,source_city,destination_city,departure_time,arrival_time,stops,class,duration_min,days_left,price
SpiceJet,Delhi,Mumbai,Evening,Night,zero,Economy,130,1,5953
SpiceJet,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,140,1,5953
AirAsia,Delhi,Mumbai,Early_Morning,Early_Morning,zero,Economy,130,1,5956
Vistara,Delhi,Mumbai,Morning,Afternoon,zero,Economy,135,1,5955
Vistara,Delhi,Mumbai,Morning,Morning,zero,Economy,140,1,5955
Vistara,Delhi,Mumbai,Morning,Afternoon,zero,Economy,140,1,5955
Vistara,Delhi,Mumbai,Morning,Morning,zero,Economy,125,1,6060
Vistara,Delhi,Mumbai,Afternoon,Evening,zero,Economy,130,1,6060
GO_FIRST,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,130,1,5954
GO_FIRST,Delhi,Mumbai,Afternoon,Evening,zero,Economy,135,1,5954
GO_FIRST,Delhi,Mumbai,Afternoon,Evening,zero,Economy,135,1,5954
GO_FIRST,Delhi,Mumbai,Morning,Afternoon,zero,Economy,140,1,5954
Indigo,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,130,1,5955
Indigo,Delhi,Mumbai,Morning,Afternoon,zero,Economy,130,1,5955
Indigo,Delhi,Mumbai,Afternoon,Evening,zero,Economy,135,1,5955
Indigo,Delhi,Mumbai,Morning,Morning,zero,Economy,140,1,5955
Air_India,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,125,1,5955
Air_India,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,130,1,5955
AirAsia,Delhi,Mumbai,Evening,Early_Morning,one,Economy,735,1,5949
AirAsia,Delhi,Mumbai,Evening,Morning,one,Economy,980,1,5949
GO_FIRST,Delhi,Mumbai,Early_Morning,Evening,one,Economy,705,1,5954
GO_FIRST,Delhi,Mumbai,Early_Morning,Night,one,Economy,870,1,5954
GO_FIRST,Delhi,Mumbai,Evening,Morning,one,Economy,940,1,5954
Air_India,Delhi,Mumbai,Evening,Night,one,Economy,225,1,5955
Indigo,Delhi,Mumbai,Morning,Morning,zero,Economy,150,1,6165
Vistara,Delhi,Mumbai,Afternoon,Evening,zero,Economy,130,1,6690
Indigo,Delhi,Mumbai,Evening,Evening,zero,Economy,130,1,6585
AirAsia,Delhi,Mumbai,Morning,Afternoon,one,Economy,350,1,8869
SpiceJet,Delhi,Mumbai,Evening,Night,zero,Economy,140,1,10260
Indigo,Delhi,Mumbai,Evening,Night,zero,Economy,130,1,10470
GO_FIRST,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,480,1,10575
Indigo,Delhi,Mumbai,Afternoon,Evening,one,Economy,360,1,10838
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,880,1,12150
