airline_idx,source_city_idx,destination_city_idx,departure_time_idx,arrival_time_idx,stops_idx,class_idx,duration_min,days_left,price
2,5,2,1,5,1,2,1.0005174,-1.4751699,13524
4,3,2,1,6,2,2,-0.72594726,-0.95898306,9940
2,5,2,1,1,1,1,1.2438447,1.3269873,55983
6,4,1,6,2,1,2,-0.2740538,-1.106465,7927
6,5,2,6,6,1,1,1.9854134,-1.5489109,55502
6,2,3,1,3,1,2,-0.9229264,-0.14783229,5206
6,6,3,5,1,1,2,-1.0156225,-0.14783229,5232
6,1,5,6,3,1,1,1.4176499,0.66331846,62188
3,2,5,6,2,1,2,-0.52896804,0.36835456,7312
2,3,2,2,2,1,2,1.6841512,-0.8115011,4251
6,2,6,5,3,1,2,-0.89975244,-0.074091315,4637
6,6,3,1,3,1,2,-1.0735576,-1.6963929,15078
4,4,2,5,3,1,2,-0.30881482,-1.180206,6753
6,3,6,5,1,1,2,2.1360445,-1.032724,12570
2,1,2,2,3,1,2,-0.37833688,-0.22157328,6586
2,4,1,6,6,1,2,1.53352,0.2208726,6734
3,3,6,6,2,1,2,-0.13500966,-0.66401917,5806
2,6,3,2,1,1,1,-0.5753161,0.66331846,41101
4,3,2,2,1,1,2,-0.505794,0.66331846,3996
6,3,4,3,2,1,1,0.39799288,0.29461357,47217
2,2,1,5,1,1,2,-0.8070563,-1.7701339,14861
6,6,3,2,1,1,2,-0.7722953,-0.8852421,12138
6,1,6,2,6,1,2,0.28212273,-0.22157328,7212
6,3,4,2,6,1,2,0.16625263,-0.8115011,6172
4,2,6,6,2,1,2,-0.48262,1.3269873,1830
6,2,3,6,3,1,1,1.53352,0.7370594,53440
2,5,1,5,6,1,2,0.17783964,1.5482101,7053
3,1,5,5,3,1,2,-0.6564252,0.7370594,6186
2,3,6,5,5,1,1,1.475585,0.66331846,53164
5,6,5,2,5,3,2,-1.3284718,-1.253947,7412
6,1,3,5,3,1,2,-0.69118625,-1.7701339,19879
1,5,3,1,4,1,2,-0.053900585,0.5895775,3014
6,1,6,5,6,1,1,-0.12342265,1.6219511,54684
6,4,6,3,5,1,2,0.21260066,1.1795052,3471
4,2,5,5,3,1,2,-0.1581837,-0.22157328,7653
2,2,5,6,1,1,2,0.82671225,1.1795052,4784
3,6,3,5,3,1,2,-0.5869031,-0.3690552,5569
2,1,2,3,1,1,1,0.9889304,1.0320233,60396
6,1,6,3,6,1,2,1.8116083,-1.7701339,11205
2,4,3,1,6,1,1,-0.19294472,-0.66401917,44583
6,1,3,3,3,1,1,1.614629,-1.8438748,76009
2,6,3,5,5,1,2,1.8347822,1.6956921,5840
6,6,4,1,3,2,2,-0.62166417,1.1057643,7656
6,4,6,2,3,1,2,-0.47103298,0.66331846,8133
2,6,2,2,3,1,1,-0.030726561,0.1471316,49613
6,6,3,3,1,1,1,1.1279745,1.6219511,41269
6,2,1,5,1,1,1,2.506829,-0.7377601,58970
2,1,6,3,6,1,2,2.1128705,-0.8852421,9277
2,5,2,6,3,1,2,1.4292369,-1.6963929,13524
5,6,5,3,6,1,2,2.1360445,-0.14783229,5289
4,5,4,3,4,1,2,-0.5984901,-0.074091315,6977
2,2,6,5,3,1,1,-0.2972278,0.95828235,49553
6,5,4,6,6,1,2,1.9854134,-0.14783229,5632
6,4,3,5,3,1,2,-0.13500966,-1.327688,10071
5,1,3,2,4,1,2,0.9773434,-0.59027815,12855
2,6,4,6,6,1,2,1.5103459,-1.032724,7584
2,2,5,5,3,1,1,-0.41309792,0.1471316,55377
3,1,6,6,1,1,2,0.22418769,-0.7377601,4299
2,6,1,6,3,1,2,1.4060628,1.1795052,6544
6,5,6,2,6,1,1,0.09673056,1.4744692,64831
2,3,4,3,6,1,2,2.1592185,0.51583654,4209
2,5,1,5,6,1,2,0.17783964,1.6219511,7474
4,3,4,2,1,1,2,-0.7027732,0.1471316,5955
2,3,5,1,5,1,2,0.8498863,-0.95898306,13410
6,2,6,5,6,1,1,-0.1581837,-0.8852421,80566
2,2,4,5,6,1,1,-0.32040182,-0.3690552,39432
3,6,3,5,3,1,2,-0.5984901,1.6219511,5877
4,1,5,2,3,2,2,-0.21611875,-1.6963929,20298
6,6,1,5,6,1,1,0.3284708,1.1795052,69168
6,2,3,5,4,1,1,0.40957987,0.44209555,45600
3,1,3,3,6,1,2,-1.0503836,0.8845414,4456
6,3,6,2,1,1,1,-0.72594726,-0.8115011,41281
2,4,2,6,3,1,1,1.3828889,0.7370594,51595
4,2,5,6,2,1,2,-0.20453173,-0.5165372,3890
2,3,1,5,1,1,1,-0.8418174,-0.7377601,35490
2,5,2,5,6,2,1,0.20101365,-0.3690552,69125
6,3,4,3,5,1,2,0.1430786,0.2208726,5761
1,6,4,6,5,1,2,-0.11183564,-0.95898306,4259
4,3,4,3,6,3,2,-1.3748199,0.8108004,2516
6,1,4,5,2,1,1,1.545107,0.5895775,37985
2,6,5,6,3,1,1,1.3133668,-0.7377601,49725
4,3,2,5,5,3,2,-1.3052977,-1.7701339,7950
1,5,3,2,5,3,2,-1.3632329,1.4007282,3999
4,2,5,5,3,1,2,-0.4015109,-0.7377601,5499
